namaresto,cuisines,namatype,ratescore,ratetext,cost,lokasi,votes
 Di Bawah Tangga, Coffee, Beverage Shop,42, Very Good,60000,Jakarta Selatan,281
 Samakamu Kopi, Coffee, Beverage Shop,40, Very Good,60000,Jakarta Selatan,163
 Kopi SANA, Cafe, Beverage Shop,43, Very Good,50000,Jakarta Selatan,230
 Kedai Kopi Kulo, Beverages, Beverage Shop,41, Very Good,70000,Jakarta Selatan,214
 Rejuve, Beverages, Beverage Shop,42, Very Good,100000,Jakarta Selatan,119
 Kopi Kenangan, Coffee, Beverage Shop,42, Very Good,33000,Jakarta Selatan,130
 Kopi Kenangan, Coffee, Beverage Shop,43, Sangat Baik,33000,Jakarta Selatan,149
 Chatime, Bubble Tea, Beverage Shop,39, Good,60000,Jakarta Selatan,91
 Kopi Kenangan, Coffee, Beverage Shop,39, Good,33000,Jakarta Selatan,79
 MM Juice, Juices, Beverage Shop,39, Good,150000,Jakarta Selatan,57
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan,101
 Kamu Tea, Beverages, Beverage Shop,40, Very Good,60000,Jakarta Selatan,70
 Kopi Cuan, Coffee, Beverage Shop,40, Very Good,50000,Jakarta Selatan,91
 Sagaleh, Beverages, Beverage Shop,42, Very Good,50000,Jakarta Selatan,86
 Suasanakopi, Coffee and Tea, Beverage Shop,38, Good,70000,Jakarta Selatan,101
 Chatime, Bubble Tea, Beverage Shop,40, Very Good,60000,Jakarta Selatan,60
 Coco, Bubble Tea, Beverage Shop,40, Very Good,50000,Jakarta Selatan,69
 Rejuve, Beverages, Beverage Shop,37, Good,100000,Jakarta Selatan,46
 Kamu Tea Cafe, Beverages, Beverage Shop,40, Very Good,60000,Jakarta Selatan,58
 Sharetea, Bubble Tea, Beverage Shop,38, Baik,60000,Jakarta Selatan,56
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan,49
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan,55
 Dum Dum Thai Drinks, Beverages, Beverage Shop,38, Good,50000,Jakarta Selatan,44
 Sunseed Juice Bar, Beverages, Beverage Shop,38, Good,60000,Jakarta Selatan,30
 Sagaleh, Coffee, Beverage Shop,37, Good,50000,Jakarta Selatan,38
 Kopi Janji Jiwa, Coffee, Beverage Shop,40, Very Good,80000,Jakarta Selatan,25
 Chatime, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan,46
 Presotea, Bubble Tea, Beverage Shop,37, Good,50000,Jakarta Selatan,40
 Chang Tea, Thai, Beverage Shop,37, Good,40000,Jakarta Selatan,25
 Tuk Tuk Cha, Beverages, Beverage Shop,38, Good,70000,Jakarta Selatan,42
 Rejuve, Beverages, Beverage Shop,39, Good,100000,Jakarta Selatan,32
 Gulu Gulu, Beverages, Beverage Shop,38, Good,60000,Jakarta Selatan,31
 Sancha, Bubble Tea, Beverage Shop,34, Average,100000,Jakarta Selatan,39
 Coco, Bubble Tea, Beverage Shop,39, Good,50000,Jakarta Selatan,37
 Avocado Lovers, Beverages, Beverage Shop,39, Good,50000,Jakarta Selatan,40
 Gulu Gulu, Beverages, Beverage Shop,36, Good,60000,Jakarta Selatan,35
 Dum Dum Thai Drinks, Beverages, Beverage Shop,37, Good,50000,Jakarta Selatan,29
 Quickly, Bubble Tea, Beverage Shop,38, Good,60000,Jakarta Selatan,32
 Ban Ban Cheese Tea, Bubble Tea, Beverage Shop,42, Very Good,70000,Jakarta Barat,204
 KOI Cafe, Bubble Tea, Beverage Shop,44, Very Good,60000,Jakarta Barat,169
 KOI Cafe, Bubble Tea, Beverage Shop,44, Very Good,60000,Jakarta Barat,140
 Jamba Juice, Juices, Beverage Shop,42, Very Good,80000,Jakarta Barat,81
 Mango Mango, Juices, Beverage Shop,38, Good,50000,Jakarta Barat,88
 KOI Cafe, Bubble Tea, Beverage Shop,43, Very Good,60000,Jakarta Barat,99
 Acaraki Jamu, Jawa, Beverage S
